P1_10,CODE_GENDER,CNT_FAM_MEMBERS,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,AGE_20,AGE_EMPLOYED_20,counter,P1,P2,state,angle,c_P1_10,c_CODE_GENDER,c_CNT_FAM_MEMBERS,c_NAME_EDUCATION_TYPE,c_NAME_FAMILY_STATUS,c_AGE_20,c_AGE_EMPLOYED_20,a_P1_10,a_CODE_GENDER,a_CNT_FAM_MEMBERS,a_NAME_EDUCATION_TYPE,a_NAME_FAMILY_STATUS,a_AGE_20,a_AGE_EMPLOYED_20,alpha
0,F,1.0,Higher education,Separated,20.0,0.0,15,0.32453336367627744,0.6754666363237226,2.0,0.0003232035788401906,#55DD55,#30123b,#30123b,#30123b,#30123b,#30123b,#30123b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,20.0,5.0,3,0.22001029550012605,0.779989704499874,2.0,6.464071576803813e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#30123b,#4560d6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,20.0,10.0,4,0.26287271982328075,0.7371272801767192,2.0,8.618762102405084e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#30123b,#36a8f9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,20.0,20.0,1,0.45555617616326083,0.5444438238367392,1.0,2.154690525601271e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#30123b,#1ae4b6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,0.0,29,0.30993282175182996,0.69006717824817,2.0,0.0006248602524243686,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#30123b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,5.0,9,0.3165697607884816,0.6834302392115185,2.0,0.0001939221473041144,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#4560d6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,10.0,4,0.3120920065431866,0.6879079934568134,2.0,8.618762102405084e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#36a8f9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,15.0,4,0.3578043766669263,0.6421956233330737,1.5,8.618762102405084e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#71fd5f,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,20.0,4,0.2158625692227254,0.7841374307772746,2.0,8.618762102405084e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#1ae4b6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,40.0,25.0,1,0.16940010052415266,0.8305998994758473,2.0,2.154690525601271e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#a1fc3d,#c5ef33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Separated,60.0,5.0,1,0.44098149545559207,0.5590185045444079,1.0,2.154690525601271e-05,#55DD55,#30123b,#30123b,#30123b,#30123b,#7a0402,#4560d6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,1.0,Higher education,Single / not married,20.0,0.0,136,0.3274834639468138,0.6725165360531862,1.0,0.0029303791148177286,#55DD55,#30123b,#30123b,#30123b,#2ab9ed,#30123b,#30123b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
